# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database may not 
# have received Director's approval.  Any such data values are qualified as provisional and 
# are subject to revision.  Provisional data are released on the condition that neither the 
# USGS nor the United States Government may be held liable for any damages resulting from its use.
#  Go to http://help.waterdata.usgs.gov/policies/provisional-data-statement for more information.
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2024-12-06 09:02:17 -05:00	(natwebvaas01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 13022500 SNAKE RIVER ABOVE RESERVOIR, NEAR ALPINE, WY
# -----------------------------------------------------------------------------------
#
# TS_ID - An internal number representing a time series.
#
# Data provided for site 13022500
#    TS_ID       Parameter Description
#    337977      00065     Gage height, feet
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
#
agency_cd	site_no	datetime	tz_cd	337977_00065	337977_00065_cd
5s	15s	20d	6s	14n	10s
USGS	13022500	2024-11-29 06:45	MST	2.68	P
USGS	13022500	2024-11-29 07:00	MST	2.68	P
USGS	13022500	2024-11-29 07:15	MST	2.67	P
USGS	13022500	2024-11-29 07:30	MST	2.67	P
USGS	13022500	2024-11-29 07:45	MST	2.66	P
USGS	13022500	2024-11-29 08:00	MST	2.66	P
USGS	13022500	2024-11-29 08:15	MST	2.66	P
USGS	13022500	2024-11-29 08:30	MST	2.66	P
USGS	13022500	2024-11-29 08:45	MST	2.66	P
USGS	13022500	2024-11-29 09:00	MST	2.65	P
USGS	13022500	2024-11-29 09:15	MST	2.66	P
USGS	13022500	2024-11-29 09:30	MST	2.66	P
USGS	13022500	2024-11-29 09:45	MST	2.65	P
USGS	13022500	2024-11-29 10:00	MST	2.66	P
USGS	13022500	2024-11-29 10:15	MST	2.66	P
USGS	13022500	2024-11-29 10:30	MST	2.66	P
USGS	13022500	2024-11-29 10:45	MST	2.66	P
USGS	13022500	2024-11-29 11:00	MST	2.66	P
USGS	13022500	2024-11-29 11:15	MST	2.66	P
USGS	13022500	2024-11-29 11:30	MST	2.66	P
USGS	13022500	2024-11-29 11:45	MST	2.67	P
USGS	13022500	2024-11-29 12:00	MST	2.68	P
USGS	13022500	2024-11-29 12:15	MST	2.69	P
USGS	13022500	2024-11-29 12:30	MST	2.68	P
USGS	13022500	2024-11-29 12:45	MST	2.68	P
USGS	13022500	2024-11-29 13:00	MST	2.67	P
USGS	13022500	2024-11-29 13:15	MST	2.67	P
USGS	13022500	2024-11-29 13:30	MST	2.66	P
USGS	13022500	2024-11-29 13:45	MST	2.66	P
USGS	13022500	2024-11-29 14:00	MST	2.65	P
USGS	13022500	2024-11-29 14:15	MST	2.65	P
USGS	13022500	2024-11-29 14:30	MST	2.65	P
